name,latitude,longitude,cctvUrl,city,district,town
전북특별자치도 남원시,35.405321,127.307357,http://cctvsec.ktict.co.kr/2626/0B51Gy+0aqo97rQHHVOdCM/dpUSC0S1+CZDbSUHfXnP27mOVv+dV9zdWzHf90hH6dwPXmUQeMpaJ3oEyym0fx83+tLskGWJA2kuvefneGQE=,전북특별자치도,남원시,대산면
전북특별자치도 진안군,35.768060,127.390560,http://cctvsec.ktict.co.kr/2662/cq3dT9IdaoF3OukZ3aOfkutjyXAmjzmi9BYCMIBZc9AiMJJmjJO48pmJJxuPUWyzQdEkkw++h6TTJ3fdVT26qDEZ0pqZY2Sdr/3kqGBUyMY=,전북특별자치도,진안군,진안읍
전북특별자치도 완주군,35.864431,127.234903,http://cctvsec.ktict.co.kr/2663/g5tS+7gFRTSPkQ8Btkb1JBrjG5a+93LDPWCuGyqG8/IBFDN8b57OJ063Z7KPOCUSROIPAL2oKHGFHZBWfS5w0VrfqDJ8w0hezf/zR/BcnYs=,전북특별자치도,완주군,소양면
전북특별자치도 진안군,35.771389,127.452778,http://cctvsec.ktict.co.kr/2664/qyBFm6tvKMblUOjhnTCiqrWKjjQSkNxofzHFNpDL9fIDWds4e9NYAYDBaVwf/C/Sn0N0BRJZm08QW0nhmCW5AlmM0xbX88HlHkb6P3V7Kp4=,전북특별자치도,진안군,진안읍
전북특별자치도 무주군,35.817262,127.645060,http://cctvsec.ktict.co.kr/2703/w92VxWbafOoZEaqbjvMpBPKU4B9YRfpx05qyr73hy6Au9FzJ6O5zkug+1kqIpTlG1n5kEj19jfoqnLjzqJxkUfGFjrQUj2koOKgr8guftKE=,전북특별자치도,무주군,안성면
경상남도 산청군,35.426910,127.859912,http://cctvsec.ktict.co.kr/2710/5uzJNP51fRQJeVQ4RGyo+iTBXko2Fps2admBZeLAknBxloMr/QMfoxBxQV/Z8DlqA8cx3bdynYsprPT/LMOoFdldNYswZbwDvYjaSZfmsj8=,경상남도,산청군,금서면
경상남도 진주시,35.215621,127.997297,http://cctvsec.ktict.co.kr/2714/Gd7Fhs3qT9ialMWysVeDsmUETUy/zbigzohyse/lenuWf1WcwvtXgM22BVsIcOJT5zLMbg+RPWTtnylOq68Fgpf/uzrZOxFXF6RzROXtRBg=,경상남도,진주시,명석면
전북특별자치도 전주시 덕진구,35.888333,127.059722,http://cctvsec.ktict.co.kr/2716/nUAA8JkGies98bGpukVD3dfgKLIMnhwQN5Ru5e/x7hEsi9drVb2FEWYiTnwcV2e4K86aeAe7vD09rhVEQM8LOUiE6RKtbRNA0DbFSMMQmPI=,전북특별자치도,전주시 덕진구,화전동
경상남도 하동군,35.014721,127.843369,http://cctvsec.ktict.co.kr/2771/dbPt455hJq0N61AeJc1LEbmDmFAX/fEfW+UKUXfsrkjBckx9SwB4Fm4Jdqnl9tzVggUratY5yWA4ux9NXwu3lENpNdpWf9SXqps5Qrj0L5M=,경상남도,하동군,고전면
전라남도 담양군,35.317917,127.009299,http://cctvsec.ktict.co.kr/2782/3OrLyOFlm9BaCL1bX6pp71cB8X9V9kHH03BPu6RGLRtTTix2usiuzxoUkDieQjmV8oO5zGNh0Au198pKJxK6lHXKihy+Q+wHdH1YTd3Tqdk=,전라남도,담양군,담양읍
전라남도 담양군,35.323416,127.021116,http://cctvsec.ktict.co.kr/2783/IB7w0IkW2EY4suQQNHiY/sxFseivqAbKXEBo/G2obxarYOf6TMSFC2ayMAOJrzH1ADPu1hSvvW5Wzzlu+NnYbVxYXLj+fvC35mQoAJGzGJ4=,전라남도,담양군,담양읍
전라남도 담양군,35.327613,127.034966,http://cctvsec.ktict.co.kr/2784/Fa0+1SrldTV4Q4DLcn1dGxi4/Xd6Jpw7N13zuyH+huKGy/mSMtFeIV4LCJbFPJUVpIsxmsiib7VEHuSs6atedY1Pode/astS3LBpN12E/SM=,전라남도,담양군,금성면
전북특별자치도 남원시,35.490846,127.508102,http://cctvsec.ktict.co.kr/2786/UjI731eVjthV4NYETxOJ8xT21Z1E/22zTGo8CiDWJc9rTA8dq4NE218iIUA/nsUF3abN7zA0LFvo+RfZDwa/xDOpmchCIetr+VIIH2uojVw=,전북특별자치도,남원시,산동면
전북특별자치도 남원시,35.489817,127.515853,http://cctvsec.ktict.co.kr/2787/FBTvjM0WPCrxmkzBZoZ9RiXPUEbtLEHYPzEDQCD3n0yXhkmqVlAIBZMN6bX3oEWWAFk33/fZygG6f4ARhT893qwFRusI5bBoITvq79Ap9uM=,전북특별자치도,남원시,산동면
경상남도 거창군,35.586351,127.859391,http://cctvsec.ktict.co.kr/2789/3jaRDV1HY7KDPCvJ+tAHZsuIK1Yl54Zl0gzL+Z2/u7fIXTyuYIOTCVezMuH4ykJQvIW/RWcIQNT9JGn6puChM8x5fhN1KX04a06ViRKaRK4=,경상남도,거창군,남상면
전북특별자치도 완주군,35.928751,127.100751,http://cctvsec.ktict.co.kr/2850//MO7zA3oMr3m63TTl/5ulAmiMM6LNe+PshgciWztuGF6GvlL4bd40+1XkQNfTPtVG9danmKukAWrMNvWTWK2o6IMHaJYQtM60iOLVBf+SfY=,전북특별자치도,완주군,삼례읍
