name,latitude,longitude,cctvUrl,type,roadId,resolution,format,time
[서해안선] 죽림분기점,34.844354,126.465906,http://cctvsec.ktict.co.kr/8041/B6dsg5G7f5riKPMQtywtwr5GiFth4NRdjLF8CfnshQEungOm2st+tpbk4eySAjuiv/3Ocdi1Nb+Ei4rkEUAI80nQGjOVfK70Kzp5emoTPko=,1,,,HLS,
[서해안선] 무안1터널,34.988056,126.493333,http://cctvsec.ktict.co.kr/8091/5rlrq9+VkZfsRHAEnRyJuQa96RZqZOX9Wq3Obw/67R6VaPYjgotOMNlFXHlttfM3grnkaqfqtoFZX0amccALDhRiwVmLtHwZA6nGPPtJEcA=,1,,,HLS,
[서해안선] 성암교,34.974440,126.495830,http://cctvsec.ktict.co.kr/8092/2hTTs5iYTT8SugPWT/uKkWsOxFtlPNGD882p4ue6VeoebTdyWMzMg2tdwXX0znwbEsP/ddgm45eBFpfsQRydw4oKEAaoWiduUh9UXW3x8e4=,1,,,HLS,
[서해안선] 무안4터널,34.957778,126.501389,http://cctvsec.ktict.co.kr/8093/IX/tXwxvtR6nTiUHNhTD1r8Rj9dt5RJE2zGbHTJ2bAO5PfSgLCRa8ZpMIE4uSg+WdbEOTjGnck4C/4rwy7zJ7SK2a+hDTgu2IQ6wsGUgd0M=,1,,,HLS,
[서해안선] 몽탄2터널,34.924722,126.497778,http://cctvsec.ktict.co.kr/8094/HT/4imYQoX1IxdzC1lui+oALsQcf/UrlobXNy4Oac7moYEAHzEmO5qi9WBWPwANBX1/YClCRO+s2JEp5fObPP/8hPUHR/Si4KaP+Yq0zw8A=,1,,,HLS,
[남해선] 남해청룡1교,34.737234,126.563631,http://cctvsec.ktict.co.kr/8174/HLBu6YjyQwSb7uR1JBdt4wzRz6j6Ikp6tqFYJaYZXvJ+cUUYnDtiJkrV84aWqCpRVauvDVheNsEIDI974pilVKJqNFuOMhI600KPK/juf7c=,1,,,HLS,
[남해선] 남해금계1교,34.730344,126.592070,http://cctvsec.ktict.co.kr/8175//Ck1D046Q/epmtuGDAwDSsN6cpPqDwqHkzT9xH64/OSRQBM/DTGh2SgMsZHyuWe+xvYXUnMYn/3dVQO+bdiF1Tq9SERB4HeDgm+Tl8OvXQI=,1,,,HLS,
[남해선] 남해금계2교,34.727972,126.602022,http://cctvsec.ktict.co.kr/8176/2SaLjPAdDmXt7oDx/XwozQVLBRVxU76+JDNzblz9iHAQUWP6CnmRp4dsgzLE+Fq1c3ibSh5MFa64yU9kK6mz2nSyP0bWcN2NTaZ1tX8ir3E=,1,,,HLS,
[남해선] 묵동1교,34.703806,126.659750,http://cctvsec.ktict.co.kr/8177/4eTxITezYNGsWPAEzNDCD4vbR9mp6pgNQ1zgTkS8XfnSbXGRUaPCJUrXzU2Wk/tUFV4LSIfW1N92tR9MyTBPKaaZZdFAMsfVizBzG5vu8/o=,1,,,HLS,
[남해선] 남해수암교,34.695544,126.726335,http://cctvsec.ktict.co.kr/8178/WZ2KWWwJAdtal5+qiwnp5jUJQT/6o0Sspq1lcjUyvwnjUhlSOZGe80Oaimy5Whab2PyHDpRQ6HfFbutvg/tLxu1qkmXcnYgneQzUpc1Voxs=,1,,,HLS,
